Yr,Lg,Series,Date,,TeamW,GamesW,,TeamL,GamesL
2002,NBA,Eastern Conf First Round,Apr 20 - May 2 2002,,New Jersey Nets (1),3,,Indiana Pacers (8),2
2002,NBA,Western Conf First Round,Apr 21 - Apr 28 2002,,Dallas Mavericks (4),3,,Minnesota Timberwolves (5),0
2002,NBA,Western Conf First Round,Apr 21 - Apr 28 2002,,Los Angeles Lakers (3),3,,Portland Trail Blazers (6),0
2002,NBA,Western Conf First Round,Apr 20 - Apr 29 2002,,Sacramento Kings (1),3,,Utah Jazz (8),1
2002,NBA,Western Conf First Round,Apr 20 - May 3 2002,,San Antonio Spurs (2),3,,Seattle SuperSonics (7),2
2002,NBA,Eastern Conf Semifinals,May 5 - May 14 2002,,Boston Celtics (3),4,,Detroit Pistons (2),1
2002,NBA,Eastern Conf Semifinals,May 5 - May 15 2002,,New Jersey Nets (1),4,,Charlotte Hornets (4),1
2002,NBA,Western Conf Semifinals,May 5 - May 14 2002,,Los Angeles Lakers (3),4,,San Antonio Spurs (2),1
2002,NBA,Western Conf Semifinals,May 4 - May 13 2002,,Sacramento Kings (1),4,,Dallas Mavericks (4),1
2002,NBA,Eastern Conf Finals,May 19 - May 31 2002,,New Jersey Nets (1),4,,Boston Celtics (3),2
2002,NBA,Western Conf Finals,May 18 - Jun 2 2002,,Los Angeles Lakers (3),4,,Sacramento Kings (1),3
2002,NBA,Finals,Jun 5 - Jun 12 2002,,Los Angeles Lakers (3),4,,New Jersey Nets (1),0
2001,NBA,Eastern Conf First Round,Apr 21 - Apr 27 2001,,Charlotte Hornets (6),3,,Miami Heat (3),0
2001,NBA,Eastern Conf First Round,Apr 22 - May 1 2001,,Milwaukee Bucks (2),3,,Orlando Magic (7),1
2001,NBA,Eastern Conf First Round,Apr 21 - May 2 2001,,Philadelphia 76ers (1),3,,Indiana Pacers (8),1
2001,NBA,Eastern Conf First Round,Apr 22 - May 4 2001,,Toronto Raptors (5),3,,New York Knicks (4),2
2001,NBA,Western Conf First Round,Apr 21 - May 3 2001,,Dallas Mavericks (5),3,,Utah Jazz (4),2
2001,NBA,Western Conf First Round,Apr 22 - Apr 29 2001,,Los Angeles Lakers (2),3,,Portland Trail Blazers (7),0
2001,NBA,Western Conf First Round,Apr 22 - May 2 2001,,Sacramento Kings (3),3,,Phoenix Suns (6),1
2001,NBA,Western Conf First Round,Apr 21 - Apr 30 2001,,San Antonio Spurs (1),3,,Minnesota Timberwolves (8),1
2001,NBA,Eastern Conf Semifinals,May 6 - May 20 2001,,Milwaukee Bucks (2),4,,Charlotte Hornets (6),3
2001,NBA,Eastern Conf Semifinals,May 6 - May 20 2001,,Philadelphia 76ers (1),4,,Toronto Raptors (5),3
2001,NBA,Western Conf Semifinals,May 6 - May 13 2001,,Los Angeles Lakers (2),4,,Sacramento Kings (3),0
2001,NBA,Western Conf Semifinals,May 5 - May 14 2001,,San Antonio Spurs (1),4,,Dallas Mavericks (5),1
2001,NBA,Eastern Conf Finals,May 22 - Jun 3 2001,,Philadelphia 76ers (1),4,,Milwaukee Bucks (2),3
2001,NBA,Western Conf Finals,May 19 - May 27 2001,,Los Angeles Lakers (2),4,,San Antonio Spurs (1),0
2001,NBA,Finals,Jun 6 - Jun 15 2001,,Los Angeles Lakers (2),4,,Philadelphia 76ers (1),1
2000,NBA,Eastern Conf First Round,Apr 23 - May 4 2000,,Indiana Pacers (1),3,,Milwaukee Bucks (8),2
2000,NBA,Eastern Conf First Round,Apr 22 - Apr 29 2000,,Miami Heat (2),3,,Detroit Pistons (7),0
2000,NBA,Eastern Conf First Round,Apr 23 - Apr 30 2000,,New York Knicks (3),3,,Toronto Raptors (6),0
2000,NBA,Eastern Conf First Round,Apr 22 - May 1 2000,,Philadelphia 76ers (5),3,,Charlotte Hornets (4),1
2000,NBA,Western Conf First Round,Apr 23 - May 5 2000,,Los Angeles Lakers (1),3,,Sacramento Kings (8),2
2000,NBA,Western Conf First Round,Apr 22 - May 2 2000,,Phoenix Suns (5),3,,San Antonio Spurs (4),1
2000,NBA,Western Conf First Round,Apr 23 - May 2 2000,,Portland Trail Blazers (3),3,,Minnesota Timberwolves (6),1
2000,NBA,Western Conf First Round,Apr 22 - May 5 2000,,Utah Jazz (2),3,,Seattle SuperSonics (7),2
2000,NBA,Eastern Conf Semifinals,May 6 - May 19 2000,,Indiana Pacers (1),4,,Philadelphia 76ers (5),2
2000,NBA,Eastern Conf Semifinals,May 7 - May 21 2000,,New York Knicks (3),4,,Miami Heat (2),3
2000,NBA,Western Conf Semifinals,May 7 - May 16 2000,,Los Angeles Lakers (1),4,,Phoenix Suns (5),1
2000,NBA,Western Conf Semifinals,May 7 - May 16 2000,,Portland Trail Blazers (3),4,,Utah Jazz (2),1
2000,NBA,Eastern Conf Finals,May 23 - Jun 2 2000,,Indiana Pacers (1),4,,New York Knicks (3),2
2000,NBA,Western Conf Finals,May 20 - Jun 4 2000,,Los Angeles Lakers (1),4,,Portland Trail Blazers (3),3
2000,NBA,Finals,Jun 7 - Jun 19 2000,,Los Angeles Lakers (1),4,,Indiana Pacers (1),2
1999,NBA,Eastern Conf First Round,May 8 - May 16 1999,,Atlanta Hawks (4),3,,Detroit Pistons (5),2
1999,NBA,Eastern Conf First Round,May 9 - May 13 1999,,Indiana Pacers (2),3,,Milwaukee Bucks (7),0
1999,NBA,Eastern Conf First Round,May 8 - May 16 1999,,New York Knicks (8),3,,Miami Heat (1),2
1999,NBA,Eastern Conf First Round,May 9 - May 15 1999,,Philadelphia 76ers (6),3,,Orlando Magic (3),1
1999,NBA,Western Conf First Round,May 9 - May 15 1999,,Los Angeles Lakers (4),3,,Houston Rockets (5),1
1999,NBA,Western Conf First Round,May 8 - May 12 1999,,Portland Trail Blazers (2),3,,Phoenix Suns (7),0
1999,NBA,Western Conf First Round,May 9 - May 15 1999,,San Antonio Spurs (1),3,,Minnesota Timberwolves (8),1
1999,NBA,Western Conf First Round,May 8 - May 16 1999,,Utah Jazz (3),3,,Sacramento Kings (6),2
1999,NBA,Eastern Conf Semifinals,May 17 - May 23 1999,,Indiana Pacers (2),4,,Philadelphia 76ers (6),0
1999,NBA,Eastern Conf Semifinals,May 18 - May 24 1999,,New York Knicks (8),4,,Atlanta Hawks (4),0
1999,NBA,Western Conf Semifinals,May 18 - May 27 1999,,Portland Trail Blazers (2),4,,Utah Jazz (3),2
1999,NBA,Western Conf Semifinals,May 17 - May 23 1999,,San Antonio Spurs (1),4,,Los Angeles Lakers (4),0
1999,NBA,Eastern Conf Finals,May 30 - Jun 11 1999,,New York Knicks (8),4,,Indiana Pacers (2),2
1999,NBA,Western Conf Finals,May 29 - Jun 6 1999,,San Antonio Spurs (1),4,,Portland Trail Blazers (2),0
1999,NBA,Finals,Jun 16 - Jun 25 1999,,San Antonio Spurs (1),4,,New York Knicks (8),1
1998,NBA,Eastern Conf First Round,Apr 23 - May 1 1998,,Charlotte Hornets (4),3,,Atlanta Hawks (5),1
1998,NBA,Eastern Conf First Round,Apr 24 - Apr 29 1998,,Chicago Bulls (1),3,,New Jersey Nets (8),0
1998,NBA,Eastern Conf First Round,Apr 23 - Apr 30 1998,,Indiana Pacers (3),3,,Cleveland Cavaliers (6),1
1998,NBA,Eastern Conf First Round,Apr 24 - May 3 1998,,New York Knicks (7),3,,Miami Heat (2),2
1998,NBA,Western Conf First Round,Apr 24 - Apr 30 1998,,Los Angeles Lakers (3),3,,Portland Trail Blazers (6),1
1998,NBA,Western Conf First Round,Apr 23 - Apr 29 1998,,San Antonio Spurs (5),3,,Phoenix Suns (4),1
1998,NBA,Western Conf First Round,Apr 24 - May 2 1998,,Seattle SuperSonics (2),3,,Minnesota Timberwolves (7),2
1998,NBA,Western Conf First Round,Apr 23 - May 3 1998,,Utah Jazz (1),3,,Houston Rockets (8),2
1998,NBA,Eastern Conf Semifinals,May 3 - May 13 1998,,Chicago Bulls (1),4,,Charlotte Hornets (4),1
1998,NBA,Eastern Conf Semifinals,May 5 - May 13 1998,,Indiana Pacers (3),4,,New York Knicks (7),1
1998,NBA,Western Conf Semifinals,May 4 - May 12 1998,,Los Angeles Lakers (3),4,,Seattle SuperSonics (2),1
1998,NBA,Western Conf Semifinals,May 5 - May 12 1998,,Utah Jazz (1),4,,San Antonio Spurs (5),1
1998,NBA,Eastern Conf Finals,May 17 - May 31 1998,,Chicago Bulls (1),4,,Indiana Pacers (3),3
1998,NBA,Western Conf Finals,May 16 - May 24 1998,,Utah Jazz (1),4,,Los Angeles Lakers (3),0
1998,NBA,Finals,Jun 3 - Jun 14 1998,,Chicago Bulls (1),4,,Utah Jazz (1),2
1997,NBA,Eastern Conf First Round,Apr 25 - May 4 1997,,Atlanta Hawks (4),3,,Detroit Pistons (5),2
1997,NBA,Eastern Conf First Round,Apr 25 - Apr 30 1997,,Chicago Bulls (1),3,,Washington Bullets (8),0
1997,NBA,Eastern Conf First Round,Apr 24 - May 4 1997,,Miami Heat (2),3,,Orlando Magic (7),2
1997,NBA,Eastern Conf First Round,Apr 24 - Apr 28 1997,,New York Knicks (3),3,,Charlotte Hornets (6),0
1997,NBA,Western Conf First Round,Apr 24 - Apr 29 1997,,Houston Rockets (3),3,,Minnesota Timberwolves (6),0
1997,NBA,Western Conf First Round,Apr 25 - May 2 1997,,Los Angeles Lakers (4),3,,Portland Trail Blazers (5),1
1997,NBA,Western Conf First Round,Apr 25 - May 3 1997,,Seattle SuperSonics (2),3,,Phoenix Suns (7),2
1997,NBA,Western Conf First Round,Apr 24 - Apr 28 1997,,Utah Jazz (1),3,,Los Angeles Clippers (8),0
1997,NBA,Eastern Conf Semifinals,May 6 - May 13 1997,,Chicago Bulls (1),4,,Atlanta Hawks (4),1
1997,NBA,Eastern Conf Semifinals,May 7 - May 18 1997,,Miami Heat (2),4,,New York Knicks (3),3
1997,NBA,Western Conf Semifinals,May 5 - May 17 1997,,Houston Rockets (3),4,,Seattle SuperSonics (2),3
1997,NBA,Western Conf Semifinals,May 4 - May 12 1997,,Utah Jazz (1),4,,Los Angeles Lakers (4),1
1997,NBA,Eastern Conf Finals,May 20 - May 28 1997,,Chicago Bulls (1),4,,Miami Heat (2),1
1997,NBA,Western Conf Finals,May 19 - May 29 1997,,Utah Jazz (1),4,,Houston Rockets (3),2
1997,NBA,Finals,Jun 1 - Jun 13 1997,,Chicago Bulls (1),4,,Utah Jazz (1),2
1996,NBA,Eastern Conf First Round,Apr 25 - May 5 1996,,Atlanta Hawks (6),3,,Indiana Pacers (3),2
1996,NBA,Eastern Conf First Round,Apr 26 - May 1 1996,,Chicago Bulls (1),3,,Miami Heat (8),0
1996,NBA,Eastern Conf First Round,Apr 25 - May 1 1996,,New York Knicks (5),3,,Cleveland Cavaliers (4),0
1996,NBA,Eastern Conf First Round,Apr 26 - Apr 30 1996,,Orlando Magic (2),3,,Detroit Pistons (7),0
1996,NBA,Western Conf First Round,Apr 25 - May 2 1996,,Houston Rockets (5),3,,Los Angeles Lakers (4),1
1996,NBA,Western Conf First Round,Apr 26 - May 3 1996,,San Antonio Spurs (2),3,,Phoenix Suns (7),1
1996,NBA,Western Conf First Round,Apr 26 - May 2 1996,,Seattle SuperSonics (1),3,,Sacramento Kings (8),1
1996,NBA,Western Conf First Round,Apr 25 - May 5 1996,,Utah Jazz (3),3,,Portland Trail Blazers (6),2
1996,NBA,Eastern Conf Semifinals,May 5 - May 14 1996,,Chicago Bulls (1),4,,New York Knicks (5),1
1996,NBA,Eastern Conf Semifinals,May 8 - May 15 1996,,Orlando Magic (2),4,,Atlanta Hawks (6),1
1996,NBA,Western Conf Semifinals,May 4 - May 12 1996,,Seattle SuperSonics (1),4,,Houston Rockets (5),0
1996,NBA,Western Conf Semifinals,May 7 - May 16 1996,,Utah Jazz (3),4,,San Antonio Spurs (2),2
1996,NBA,Eastern Conf Finals,May 19 - May 27 1996,,Chicago Bulls (1),4,,Orlando Magic (2),0
1996,NBA,Western Conf Finals,May 18 - Jun 2 1996,,Seattle SuperSonics (1),4,,Utah Jazz (3),3
1996,NBA,Finals,Jun 5 - Jun 16 1996,,Chicago Bulls (1),4,,Seattle SuperSonics (1),2
1995,NBA,Eastern Conf First Round,Apr 28 - May 4 1995,,Chicago Bulls (5),3,,Charlotte Hornets (4),1
1995,NBA,Eastern Conf First Round,Apr 27 - May 2 1995,,Indiana Pacers (2),3,,Atlanta Hawks (7),0
1995,NBA,Eastern Conf First Round,Apr 27 - May 4 1995,,New York Knicks (3),3,,Cleveland Cavaliers (6),1
1995,NBA,Eastern Conf First Round,Apr 28 - May 5 1995,,Orlando Magic (1),3,,Boston Celtics (8),1
1995,NBA,Western Conf First Round,Apr 27 - May 7 1995,,Houston Rockets (6),3,,Utah Jazz (3),2
1995,NBA,Western Conf First Round,Apr 27 - May 4 1995,,Los Angeles Lakers (5),3,,Seattle SuperSonics (4),1
1995,NBA,Western Conf First Round,Apr 28 - May 2 1995,,Phoenix Suns (2),3,,Portland Trail Blazers (7),0
1995,NBA,Western Conf First Round,Apr 28 - May 2 1995,,San Antonio Spurs (1),3,,Denver Nuggets (8),0
1995,NBA,Eastern Conf Semifinals,May 7 - May 21 1995,,Indiana Pacers (2),4,,New York Knicks (3),3
1995,NBA,Eastern Conf Semifinals,May 7 - May 18 1995,,Orlando Magic (1),4,,Chicago Bulls (5),2
1995,NBA,Western Conf Semifinals,May 9 - May 20 1995,,Houston Rockets (6),4,,Phoenix Suns (2),3
1995,NBA,Western Conf Semifinals,May 6 - May 18 1995,,San Antonio Spurs (1),4,,Los Angeles Lakers (5),2
1995,NBA,Eastern Conf Finals,May 23 - Jun 4 1995,,Orlando Magic (1),4,,Indiana Pacers (2),3
1995,NBA,Western Conf Finals,May 22 - Jun 1 1995,,Houston Rockets (6),4,,San Antonio Spurs (1),2
1995,NBA,Finals,Jun 7 - Jun 14 1995,,Houston Rockets (6),4,,Orlando Magic (1),0
1994,NBA,Eastern Conf First Round,Apr 28 - May 8 1994,,Atlanta Hawks (1),3,,Miami Heat (8),2
1994,NBA,Eastern Conf First Round,Apr 29 - May 3 1994,,Chicago Bulls (3),3,,Cleveland Cavaliers (6),0
1994,NBA,Eastern Conf First Round,Apr 28 - May 2 1994,,Indiana Pacers (5),3,,Orlando Magic (4),0
1994,NBA,Eastern Conf First Round,Apr 29 - May 6 1994,,New York Knicks (2),3,,New Jersey Nets (7),1
1994,NBA,Western Conf First Round,Apr 28 - May 7 1994,,Denver Nuggets (8),3,,Seattle SuperSonics (1),2
1994,NBA,Western Conf First Round,Apr 29 - May 6 1994,,Houston Rockets (2),3,,Portland Trail Blazers (7),1
1994,NBA,Western Conf First Round,Apr 29 - May 4 1994,,Phoenix Suns (3),3,,Golden State Warriors (6),0
1994,NBA,Western Conf First Round,Apr 28 - May 5 1994,,Utah Jazz (5),3,,San Antonio Spurs (4),1
1994,NBA,Eastern Conf Semifinals,May 10 - May 19 1994,,Indiana Pacers (5),4,,Atlanta Hawks (1),2
1994,NBA,Eastern Conf Semifinals,May 8 - May 22 1994,,New York Knicks (2),4,,Chicago Bulls (3),3
1994,NBA,Western Conf Semifinals,May 8 - May 21 1994,,Houston Rockets (2),4,,Phoenix Suns (3),3
1994,NBA,Western Conf Semifinals,May 10 - May 21 1994,,Utah Jazz (5),4,,Denver Nuggets (8),3
1994,NBA,Eastern Conf Finals,May 24 - Jun 5 1994,,New York Knicks (2),4,,Indiana Pacers (5),3
1994,NBA,Western Conf Finals,May 23 - May 31 1994,,Houston Rockets (2),4,,Utah Jazz (5),1
1994,NBA,Finals,Jun 8 - Jun 22 1994,,Houston Rockets (2),4,,New York Knicks (2),3
1993,NBA,Eastern Conf First Round,Apr 29 - May 5 1993,,Charlotte Hornets (5),3,,Boston Celtics (4),1
1993,NBA,Eastern Conf First Round,Apr 30 - May 4 1993,,Chicago Bulls (2),3,,Atlanta Hawks (7),0
1993,NBA,Eastern Conf First Round,Apr 29 - May 9 1993,,Cleveland Cavaliers (3),3,,New Jersey Nets (6),2
1993,NBA,Eastern Conf First Round,Apr 30 - May 6 1993,,New York Knicks (1),3,,Indiana Pacers (8),1
1993,NBA,Western Conf First Round,Apr 29 - May 8 1993,,Houston Rockets (2),3,,Los Angeles Clippers (7),2
1993,NBA,Western Conf First Round,Apr 30 - May 9 1993,,Phoenix Suns (1),3,,Los Angeles Lakers (8),2
1993,NBA,Western Conf First Round,Apr 29 - May 7 1993,,San Antonio Spurs (5),3,,Portland Trail Blazers (4),1
1993,NBA,Western Conf First Round,Apr 30 - May 8 1993,,Seattle SuperSonics (3),3,,Utah Jazz (6),2
1993,NBA,Eastern Conf Semifinals,May 11 - May 17 1993,,Chicago Bulls (2),4,,Cleveland Cavaliers (3),0
1993,NBA,Eastern Conf Semifinals,May 9 - May 18 1993,,New York Knicks (1),4,,Charlotte Hornets (5),1
1993,NBA,Western Conf Semifinals,May 11 - May 20 1993,,Phoenix Suns (1),4,,San Antonio Spurs (5),2
1993,NBA,Western Conf Semifinals,May 10 - May 22 1993,,Seattle SuperSonics (3),4,,Houston Rockets (2),3
1993,NBA,Eastern Conf Finals,May 23 - Jun 4 1993,,Chicago Bulls (2),4,,New York Knicks (1),2
1993,NBA,Western Conf Finals,May 24 - Jun 5 1993,,Phoenix Suns (1),4,,Seattle SuperSonics (3),3
1993,NBA,Finals,Jun 9 - Jun 20 1993,,Chicago Bulls (2),4,,Phoenix Suns (1),2
1992,NBA,Eastern Conf First Round,Apr 23 - Apr 27 1992,,Boston Celtics (2),3,,Indiana Pacers (7),0
1992,NBA,Eastern Conf First Round,Apr 24 - Apr 29 1992,,Chicago Bulls (1),3,,Miami Heat (8),0
1992,NBA,Eastern Conf First Round,Apr 23 - Apr 30 1992,,Cleveland Cavaliers (3),3,,New Jersey Nets (6),1
1992,NBA,Eastern Conf First Round,Apr 24 - May 3 1992,,New York Knicks (4),3,,Detroit Pistons (5),2
1992,NBA,Western Conf First Round,Apr 24 - Apr 29 1992,,Phoenix Suns (4),3,,San Antonio Spurs (5),0
1992,NBA,Western Conf First Round,Apr 23 - May 3 1992,,Portland Trail Blazers (1),3,,Los Angeles Lakers (8),1
1992,NBA,Western Conf First Round,Apr 23 - Apr 30 1992,,Seattle SuperSonics (6),3,,Golden State Warriors (3),1
1992,NBA,Western Conf First Round,Apr 24 - May 4 1992,,Utah Jazz (2),3,,Los Angeles Clippers (7),2
1992,NBA,Eastern Conf Semifinals,May 5 - May 17 1992,,Chicago Bulls (1),4,,New York Knicks (4),3
1992,NBA,Eastern Conf Semifinals,May 2 - May 17 1992,,Cleveland Cavaliers (3),4,,Boston Celtics (2),3
1992,NBA,Western Conf Semifinals,May 5 - May 14 1992,,Portland Trail Blazers (1),4,,Phoenix Suns (4),1
1992,NBA,Western Conf Semifinals,May 6 - May 14 1992,,Utah Jazz (2),4,,Seattle SuperSonics (6),1
1992,NBA,Eastern Conf Finals,May 19 - May 29 1992,,Chicago Bulls (1),4,,Cleveland Cavaliers (3),2
1992,NBA,Western Conf Finals,May 16 - May 28 1992,,Portland Trail Blazers (1),4,,Utah Jazz (2),2
1992,NBA,Finals,Jun 3 - Jun 14 1992,,Chicago Bulls (1),4,,Portland Trail Blazers (1),2
1991,NBA,Eastern Conf First Round,Apr 26 - May 5 1991,,Boston Celtics (2),3,,Indiana Pacers (7),2
1991,NBA,Eastern Conf First Round,Apr 25 - Apr 30 1991,,Chicago Bulls (1),3,,New York Knicks (8),0
1991,NBA,Eastern Conf First Round,Apr 26 - May 5 1991,,Detroit Pistons (3),3,,Atlanta Hawks (6),2
1991,NBA,Eastern Conf First Round,Apr 25 - Apr 30 1991,,Philadelphia 76ers (5),3,,Milwaukee Bucks (4),0
1991,NBA,Western Conf First Round,Apr 25 - May 3 1991,,Golden State Warriors (7),3,,San Antonio Spurs (2),1
1991,NBA,Western Conf First Round,Apr 25 - Apr 30 1991,,Los Angeles Lakers (3),3,,Houston Rockets (6),0
1991,NBA,Western Conf First Round,Apr 26 - May 4 1991,,Portland Trail Blazers (1),3,,Seattle SuperSonics (8),2
1991,NBA,Western Conf First Round,Apr 25 - May 2 1991,,Utah Jazz (5),3,,Phoenix Suns (4),1
1991,NBA,Eastern Conf Semifinals,May 4 - May 14 1991,,Chicago Bulls (1),4,,Philadelphia 76ers (5),1
1991,NBA,Eastern Conf Semifinals,May 7 - May 17 1991,,Detroit Pistons (3),4,,Boston Celtics (2),2
1991,NBA,Western Conf Semifinals,May 5 - May 14 1991,,Los Angeles Lakers (3),4,,Golden State Warriors (7),1
1991,NBA,Western Conf Semifinals,May 7 - May 14 1991,,Portland Trail Blazers (1),4,,Utah Jazz (5),1
1991,NBA,Eastern Conf Finals,May 19 - May 27 1991,,Chicago Bulls (1),4,,Detroit Pistons (3),0
1991,NBA,Western Conf Finals,May 18 - May 30 1991,,Los Angeles Lakers (3),4,,Portland Trail Blazers (1),2
1991,NBA,Finals,Jun 2 - Jun 12 1991,,Chicago Bulls (1),4,,Los Angeles Lakers (3),1
1990,NBA,Eastern Conf First Round,Apr 27 - May 3 1990,,Chicago Bulls (3),3,,Milwaukee Bucks (6),1
1990,NBA,Eastern Conf First Round,Apr 26 - May 1 1990,,Detroit Pistons (1),3,,Indiana Pacers (8),0
1990,NBA,Eastern Conf First Round,Apr 26 - May 6 1990,,New York Knicks (5),3,,Boston Celtics (4),2
1990,NBA,Eastern Conf First Round,Apr 26 - May 5 1990,,Philadelphia 76ers (2),3,,Cleveland Cavaliers (7),2
1990,NBA,Western Conf First Round,Apr 27 - May 3 1990,,Los Angeles Lakers (1),3,,Houston Rockets (8),1
1990,NBA,Western Conf First Round,Apr 27 - May 6 1990,,Phoenix Suns (5),3,,Utah Jazz (4),2
1990,NBA,Western Conf First Round,Apr 26 - May 1 1990,,Portland Trail Blazers (3),3,,Dallas Mavericks (6),0
1990,NBA,Western Conf First Round,Apr 26 - May 1 1990,,San Antonio Spurs (2),3,,Denver Nuggets (7),0
1990,NBA,Eastern Conf Semifinals,May 7 - May 16 1990,,Chicago Bulls (3),4,,Philadelphia 76ers (2),1
1990,NBA,Eastern Conf Semifinals,May 8 - May 15 1990,,Detroit Pistons (1),4,,New York Knicks (5),1
1990,NBA,Western Conf Semifinals,May 8 - May 15 1990,,Phoenix Suns (5),4,,Los Angeles Lakers (1),1
1990,NBA,Western Conf Semifinals,May 5 - May 19 1990,,Portland Trail Blazers (3),4,,San Antonio Spurs (2),3
1990,NBA,Eastern Conf Finals,May 20 - Jun 3 1990,,Detroit Pistons (1),4,,Chicago Bulls (3),3
1990,NBA,Western Conf Finals,May 21 - May 31 1990,,Portland Trail Blazers (3),4,,Phoenix Suns (5),2
1990,NBA,Finals,Jun 5 - Jun 14 1990,,Detroit Pistons (1),4,,Portland Trail Blazers (3),1
1989,NBA,Eastern Conf First Round,Apr 28 - May 7 1989,,Chicago Bulls (6),3,,Cleveland Cavaliers (3),2
1989,NBA,Eastern Conf First Round,Apr 28 - May 2 1989,,Detroit Pistons (1),3,,Boston Celtics (8),0
1989,NBA,Eastern Conf First Round,Apr 27 - May 7 1989,,Milwaukee Bucks (5),3,,Atlanta Hawks (4),2
1989,NBA,Eastern Conf First Round,Apr 27 - May 2 1989,,New York Knicks (2),3,,Philadelphia 76ers (7),0
1989,NBA,Western Conf First Round,Apr 27 - May 2 1989,,Golden State Warriors (7),3,,Utah Jazz (2),0
1989,NBA,Western Conf First Round,Apr 27 - May 3 1989,,Los Angeles Lakers (1),3,,Portland Trail Blazers (8),0
1989,NBA,Western Conf First Round,Apr 28 - May 2 1989,,Phoenix Suns (3),3,,Denver Nuggets (6),0
1989,NBA,Western Conf First Round,Apr 28 - May 5 1989,,Seattle SuperSonics (4),3,,Houston Rockets (5),1
1989,NBA,Eastern Conf Semifinals,May 9 - May 19 1989,,Chicago Bulls (6),4,,New York Knicks (2),2
1989,NBA,Eastern Conf Semifinals,May 10 - May 15 1989,,Detroit Pistons (1),4,,Milwaukee Bucks (5),0
1989,NBA,Western Conf Semifinals,May 7 - May 14 1989,,Los Angeles Lakers (1),4,,Seattle SuperSonics (4),0
1989,NBA,Western Conf Semifinals,May 6 - May 16 1989,,Phoenix Suns (3),4,,Golden State Warriors (7),1
1989,NBA,Eastern Conf Finals,May 21 - Jun 2 1989,,Detroit Pistons (1),4,,Chicago Bulls (6),2
1989,NBA,Western Conf Finals,May 20 - May 28 1989,,Los Angeles Lakers (1),4,,Phoenix Suns (3),0
1989,NBA,Finals,Jun 6 - Jun 13 1989,,Detroit Pistons (1),4,,Los Angeles Lakers (1),0
1988,NBA,Eastern Conf First Round,Apr 29 - May 8 1988,,Atlanta Hawks (4),3,,Milwaukee Bucks (5),2
1988,NBA,Eastern Conf First Round,Apr 29 - May 6 1988,,Boston Celtics (1),3,,New York Knicks (8),1
1988,NBA,Eastern Conf First Round,Apr 28 - May 8 1988,,Chicago Bulls (3),3,,Cleveland Cavaliers (6),2
1988,NBA,Eastern Conf First Round,Apr 28 - May 8 1988,,Detroit Pistons (2),3,,Washington Bullets (7),2
1988,NBA,Western Conf First Round,Apr 28 - May 5 1988,,Dallas Mavericks (3),3,,Houston Rockets (6),1
1988,NBA,Western Conf First Round,Apr 29 - May 7 1988,,Denver Nuggets (2),3,,Seattle SuperSonics (7),2
1988,NBA,Western Conf First Round,Apr 29 - May 3 1988,,Los Angeles Lakers (1),3,,San Antonio Spurs (8),0
1988,NBA,Western Conf First Round,Apr 28 - May 6 1988,,Utah Jazz (5),3,,Portland Trail Blazers (4),1
1988,NBA,Eastern Conf Semifinals,May 11 - May 22 1988,,Boston Celtics (1),4,,Atlanta Hawks (4),3
1988,NBA,Eastern Conf Semifinals,May 10 - May 18 1988,,Detroit Pistons (2),4,,Chicago Bulls (3),1
1988,NBA,Western Conf Semifinals,May 10 - May 19 1988,,Dallas Mavericks (3),4,,Denver Nuggets (2),2
1988,NBA,Western Conf Semifinals,May 8 - May 21 1988,,Los Angeles Lakers (1),4,,Utah Jazz (5),3
1988,NBA,Eastern Conf Finals,May 25 - Jun 3 1988,,Detroit Pistons (2),4,,Boston Celtics (1),2
1988,NBA,Western Conf Finals,May 23 - Jun 4 1988,,Los Angeles Lakers (1),4,,Dallas Mavericks (3),3
1988,NBA,Finals,Jun 7 - Jun 21 1988,,Los Angeles Lakers (1),4,,Detroit Pistons (2),3
1987,NBA,Eastern Conf First Round,Apr 24 - May 1 1987,,Atlanta Hawks (2),3,,Indiana Pacers (7),1
1987,NBA,Eastern Conf First Round,Apr 23 - Apr 28 1987,,Boston Celtics (1),3,,Chicago Bulls (8),0
1987,NBA,Eastern Conf First Round,Apr 24 - Apr 29 1987,,Detroit Pistons (3),3,,Washington Bullets (6),0
1987,NBA,Eastern Conf First Round,Apr 24 - May 3 1987,,Milwaukee Bucks (4),3,,Philadelphia 76ers (5),2
1987,NBA,Western Conf First Round,Apr 23 - May 3 1987,,Golden State Warriors (5),3,,Utah Jazz (4),2
1987,NBA,Western Conf First Round,Apr 24 - Apr 30 1987,,Houston Rockets (6),3,,Portland Trail Blazers (3),1
1987,NBA,Western Conf First Round,Apr 23 - Apr 29 1987,,Los Angeles Lakers (1),3,,Denver Nuggets (8),0
1987,NBA,Western Conf First Round,Apr 23 - Apr 30 1987,,Seattle SuperSonics (7),3,,Dallas Mavericks (2),1
1987,NBA,Eastern Conf Semifinals,May 5 - May 17 1987,,Boston Celtics (1),4,,Milwaukee Bucks (4),3
1987,NBA,Eastern Conf Semifinals,May 3 - May 13 1987,,Detroit Pistons (3),4,,Atlanta Hawks (2),1
1987,NBA,Western Conf Semifinals,May 5 - May 12 1987,,Los Angeles Lakers (1),4,,Golden State Warriors (5),1
1987,NBA,Western Conf Semifinals,May 2 - May 14 1987,,Seattle SuperSonics (7),4,,Houston Rockets (6),2
